seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType
chr1	375803	375852	50	*	98	307	0.319218241042345	104	218	0.477064220183486	7	CHH	1	0.000457429590541308	gain
chr1	583703	583752	50	*	139	666	0.208708708708709	20	603	0.033167495854063	11	CHH	-1	6.08020713861198e-21	loss
chr1	675203	675252	50	*	319	768	0.415364583333333	397	670	0.592537313432836	16	CHH	1	5.02817088289382e-10	gain
chr1	707453	707502	50	*	124	242	0.512396694214876	65	198	0.328282828282828	17	CHH	-1	0.000211493581899398	loss
chr1	772503	772552	50	*	26	132	0.196969696969697	50	125	0.4	12	CHH	1	0.000615553939294421	gain
chr1	799553	799602	50	*	137	224	0.611607142857143	107	138	0.77536231884058	15	CHH	1	0.00168943968806632	gain
chr1	799703	799752	50	*	43	98	0.438775510204082	50	77	0.649350649350649	8	CHH	1	0.00711676015825667	gain
chr1	1087703	1087752	50	*	218	643	0.339035769828927	223	415	0.537349397590361	11	CHH	1	3.40927576222652e-09	gain
chr1	1112603	1112702	100	*	296	651	0.45468509984639	82	330	0.248484848484848	19	CHH	-1	3.39816113218727e-09	loss
chr1	1142553	1142602	50	*	235	387	0.607235142118863	121	287	0.421602787456446	8	CHH	-1	7.16391996922647e-06	loss
chr1	1162503	1162552	50	*	184	593	0.310286677908938	60	393	0.152671755725191	10	CHH	-1	1.10758539945564e-07	loss
chr1	1248603	1248652	50	*	56	300	0.186666666666667	84	240	0.35	12	CHH	1	5.1511512484642e-05	gain
chr1	1284403	1284452	50	*	67	147	0.45578231292517	58	95	0.610526315789474	6	CHH	1	0.0255537318945863	gain
chr1	1469003	1469052	50	*	199	421	0.472684085510689	90	286	0.314685314685315	10	CHH	-1	8.13432129110935e-05	loss
chr1	1513053	1513102	50	*	111	432	0.256944444444444	25	260	0.0961538461538462	10	CHH	-1	6.89154704540384e-07	loss
chr1	2046403	2046452	50	*	138	332	0.41566265060241	58	241	0.240663900414938	10	CHH	-1	3.38343273488606e-05	loss
chr1	2268303	2268352	50	*	73	478	0.152719665271967	106	330	0.321212121212121	10	CHH	1	1.97603237309709e-07	gain
chr1	2420403	2420452	50	*	56	245	0.228571428571429	85	208	0.408653846153846	5	CHH	1	0.0001000016426268	gain
chr1	2431453	2431502	50	*	199	603	0.330016583747927	277	569	0.486818980667838	11	CHH	1	3.72978946083633e-07	gain
chr1	2613303	2613352	50	*	157	294	0.534013605442177	122	178	0.685393258426966	5	CHH	1	0.00189280527911185	gain
chr1	2652653	2652702	50	*	179	282	0.634751773049645	55	130	0.423076923076923	6	CHH	-1	0.000149235370376804	loss
chr1	2698453	2698502	50	*	41	150	0.273333333333333	34	79	0.430379746835443	6	CHH	1	0.0190947296445122	gain
chr1	2838803	2838852	50	*	295	523	0.564053537284895	116	321	0.361370716510903	11	CHH	-1	1.07797203467674e-07	loss
chr1	2877003	2877102	100	*	473	1151	0.410947002606429	160	811	0.197287299630086	31	CHH	-1	8.40037767689668e-22	loss
chr1	2898203	2898252	50	*	109	229	0.475982532751092	48	170	0.282352941176471	6	CHH	-1	0.000229089060192967	loss
chr1	2966653	2966702	50	*	90	214	0.420560747663551	91	159	0.572327044025157	7	CHH	1	0.0054207136721405	gain
chr1	2987453	2987502	50	*	57	240	0.2375	78	201	0.388059701492537	6	CHH	1	0.00124468363911668	gain
chr1	3069153	3069202	50	*	192	293	0.655290102389078	137	169	0.810650887573965	8	CHH	1	0.00064518039385641	gain
chr1	3069553	3069602	50	*	168	416	0.403846153846154	38	197	0.192893401015228	17	CHH	-1	8.348911535676e-07	loss
chr1	3157053	3157102	50	*	71	152	0.467105263157895	64	95	0.673684210526316	7	CHH	1	0.00218191618068526	gain
chr1	3871103	3871152	50	*	207	294	0.704081632653061	84	158	0.531645569620253	7	CHH	-1	0.000509855179194328	loss
chr1	4234453	4234502	50	*	36	194	0.185567010309278	82	230	0.356521739130435	4	CHH	1	0.000178653920426021	gain
chr1	4272303	4272352	50	*	56	393	0.142493638676845	98	324	0.302469135802469	8	CHH	1	1.30380177355606e-06	gain
chr1	4292103	4292152	50	*	120	305	0.39344262295082	35	208	0.168269230769231	11	CHH	-1	2.37624208658246e-07	loss
chr1	4339153	4339202	50	*	200	599	0.333889816360601	61	352	0.173295454545455	16	CHH	-1	3.48791675235387e-07	loss
chr1	4392903	4393002	100	*	101	368	0.27445652173913	203	399	0.508771929824561	27	CHH	1	7.28226514919664e-10	gain
chr1	4602053	4602102	50	*	72	214	0.336448598130841	20	115	0.173913043478261	7	CHH	-1	0.00247514995795498	loss
chr1	4645153	4645252	100	*	128	301	0.425249169435216	145	221	0.656108597285068	16	CHH	1	1.24804961164089e-06	gain
chr1	4653303	4653352	50	*	9	99	0.0909090909090909	28	115	0.243478260869565	10	CHH	1	0.00430556319501382	gain
chr1	4815453	4815502	50	*	109	226	0.482300884955752	109	166	0.656626506024096	6	CHH	1	0.00100811037882275	gain
chr1	5019153	5019202	50	*	219	405	0.540740740740741	115	300	0.383333333333333	12	CHH	-1	8.74307159077658e-05	loss
chr1	5029603	5029652	50	*	67	263	0.254752851711027	22	214	0.102803738317757	7	CHH	-1	4.78974759663102e-05	loss
chr1	5140253	5140302	50	*	19	231	0.0822510822510823	43	175	0.245714285714286	4	CHH	1	3.04720743618259e-05	gain
chr1	5567253	5567302	50	*	77	137	0.562043795620438	32	83	0.385542168674699	9	CHH	-1	0.0134593551823714	loss
chr1	5575953	5576002	50	*	73	129	0.565891472868217	47	123	0.382113821138211	11	CHH	-1	0.00456985846561493	loss
chr1	5669253	5669302	50	*	270	636	0.424528301886792	117	469	0.249466950959488	11	CHH	-1	1.58957901566698e-08	loss
chr1	5669903	5669952	50	*	207	467	0.443254817987152	79	320	0.246875	11	CHH	-1	1.19866809870908e-07	loss
chr1	5686953	5687002	50	*	46	85	0.541176470588235	23	65	0.353846153846154	7	CHH	-1	0.0318762410553743	loss
chr1	5823103	5823152	50	*	41	209	0.196172248803828	87	238	0.365546218487395	11	CHH	1	0.000192549906732986	gain
chr1	6039153	6039202	50	*	15	90	0.166666666666667	31	69	0.449275362318841	5	CHH	1	0.00030938866623357	gain
chr1	6039303	6039352	50	*	52	180	0.288888888888889	66	127	0.519685039370079	11	CHH	1	0.000111412100557819	gain
chr1	6111803	6111852	50	*	8	104	0.0769230769230769	20	87	0.229885057471264	10	CHH	1	0.00447177131398703	gain
chr1	6238603	6238652	50	*	130	474	0.274261603375527	184	387	0.475452196382429	14	CHH	1	1.58957901566698e-08	gain
chr1	6374103	6374152	50	*	130	329	0.395136778115502	135	239	0.564853556485356	7	CHH	1	0.000174641708825327	gain
chr1	6446853	6446902	50	*	26	122	0.213114754098361	3	74	0.0405405405405405	3	CHH	-1	0.00105889172122865	loss
chr1	6472353	6472402	50	*	42	215	0.195348837209302	60	163	0.368098159509202	6	CHH	1	0.000443894229531061	gain
chr1	6489603	6489702	100	*	320	582	0.549828178694158	197	506	0.389328063241107	25	CHH	-1	8.63628829123498e-07	loss
chr1	6593403	6593452	50	*	12	253	0.0474308300395257	38	163	0.233128834355828	12	CHH	1	1.66861304592019e-07	gain
chr1	6620353	6620402	50	*	17	102	0.166666666666667	20	62	0.32258064516129	5	CHH	1	0.0335491898703411	gain
chr1	6895553	6895602	50	*	71	165	0.43030303030303	36	131	0.274809160305344	9	CHH	-1	0.00816425387996614	loss
chr1	6966603	6966652	50	*	69	211	0.327014218009479	22	127	0.173228346456693	8	CHH	-1	0.00290001981537794	loss
chr1	7038803	7038852	50	*	59	110	0.536363636363636	38	106	0.358490566037736	7	CHH	-1	0.0105162097852424	loss
chr1	7040853	7040902	50	*	192	264	0.727272727272727	115	200	0.575	7	CHH	-1	0.00108369061634231	loss
chr1	7042953	7043002	50	*	83	230	0.360869565217391	99	184	0.53804347826087	9	CHH	1	0.000545827555318765	gain
chr1	7047153	7047202	50	*	8	324	0.0246913580246914	37	172	0.215116279069767	16	CHH	1	1.89643371436855e-10	gain
chr1	7064903	7064952	50	*	8	96	0.0833333333333333	22	94	0.234042553191489	11	CHH	1	0.00594231205165766	gain
chr1	7071203	7071252	50	*	126	220	0.572727272727273	50	119	0.420168067226891	10	CHH	-1	0.00969625419438975	loss
chr1	7091303	7091352	50	*	57	192	0.296875	101	211	0.478672985781991	20	CHH	1	0.000392225732992317	gain
