seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType
chr1	6803	6852	50	*	19	54	0.351851851851852	2	36	0.0555555555555556	4	CHG	-1	0.00173721629136567	loss
chr1	44203	44252	50	*	18	64	0.28125	7	63	0.111111111111111	3	CHG	-1	0.026326338894269	loss
chr1	87053	87102	50	*	0	118	0	17	92	0.184782608695652	4	CHG	1	2.01704441096741e-06	gain
chr1	103603	103652	50	*	1	77	0.012987012987013	15	54	0.277777777777778	3	CHG	1	2.10877631648096e-05	gain
chr1	105153	105202	50	*	58	190	0.305263157894737	75	152	0.493421052631579	4	CHG	1	0.000520675103559803	gain
chr1	105503	105602	100	*	177	322	0.549689440993789	201	276	0.728260869565217	9	CHG	1	6.37504556479046e-06	gain
chr1	106703	106752	50	*	84	163	0.515337423312883	81	121	0.669421487603306	4	CHG	1	0.0130168130327767	gain
chr1	111853	111902	50	*	45	105	0.428571428571429	23	105	0.219047619047619	3	CHG	-1	0.00310871217149967	loss
chr1	143753	143802	50	*	86	165	0.521212121212121	138	192	0.71875	6	CHG	1	0.00045179746719904	gain
chr1	346903	346952	50	*	53	123	0.430894308943089	83	121	0.685950413223141	4	CHG	1	0.000193224719801343	gain
chr1	399203	399252	50	*	119	342	0.347953216374269	134	247	0.54251012145749	6	CHG	1	1.47016622371258e-05	gain
chr1	458153	458202	50	*	15	238	0.0630252100840336	34	127	0.267716535433071	5	CHG	1	1.19455992546071e-06	gain
chr1	461203	461252	50	*	15	168	0.0892857142857143	53	176	0.301136363636364	4	CHG	1	3.87085765234519e-06	gain
chr1	466653	466702	50	*	23	156	0.147435897435897	48	115	0.417391304347826	4	CHG	1	4.19649636937992e-06	gain
chr1	469153	469202	50	*	40	112	0.357142857142857	52	83	0.626506024096386	3	CHG	1	0.000636451923525788	gain
chr1	481003	481052	50	*	39	97	0.402061855670103	17	77	0.220779220779221	3	CHG	-1	0.0163917498644424	loss
