seqnames	start	end	width	strand	sumReadsM1	sumReadsN1	proportion1	sumReadsM2	sumReadsN2	proportion2	cytosinesCount	context	direction	pValue	regionType
chr1	40753	40802	50	*	31	118	0.26271186440678	6	138	0.0434782608695652	4	CG	-1	2.10368366392304e-06	loss
chr1	62153	62202	50	*	105	130	0.807692307692308	114	174	0.655172413793103	4	CG	-1	0.00529197908829837	loss
chr1	89203	89252	50	*	3	73	0.0410958904109589	12	62	0.193548387096774	4	CG	1	0.00698681220559181	gain
chr1	107003	107052	50	*	3	140	0.0214285714285714	34	184	0.184782608695652	4	CG	1	5.63122808629821e-06	gain
chr1	118453	118502	50	*	134	193	0.694300518134715	206	238	0.865546218487395	6	CG	1	4.27050024971138e-05	gain
chr1	126803	126852	50	*	108	153	0.705882352941177	116	126	0.920634920634921	4	CG	1	1.33147201542241e-05	gain
chr1	127103	127152	50	*	86	107	0.803738317757009	118	120	0.983333333333333	4	CG	1	2.13890754229356e-05	gain
chr1	156753	156802	50	*	104	198	0.525252525252525	74	203	0.364532019704433	6	CG	-1	0.00183373550243495	loss
chr1	207503	207552	50	*	76	127	0.598425196850394	63	152	0.414473684210526	4	CG	-1	0.00340672381231487	loss
chr1	208753	208802	50	*	2	144	0.0138888888888889	31	149	0.208053691275168	4	CG	1	1.74437101766973e-07	gain
chr1	242253	242302	50	*	86	124	0.693548387096774	69	145	0.475862068965517	4	CG	-1	0.000559337392241046	loss
chr1	251353	251402	50	*	98	141	0.695035460992908	115	123	0.934959349593496	4	CG	1	2.38404622643557e-06	gain
chr1	265253	265302	50	*	88	137	0.642335766423358	61	145	0.420689655172414	4	CG	-1	0.00038101182998018	loss
chr1	322703	322752	50	*	34	53	0.641509433962264	54	62	0.870967741935484	4	CG	1	0.00539671323215388	gain
chr1	339853	339902	50	*	43	133	0.323308270676692	48	97	0.494845360824742	4	CG	1	0.0108489642694136	gain
chr1	349753	349802	50	*	125	158	0.791139240506329	110	116	0.948275862068966	4	CG	1	0.000329418753223144	gain
chr1	351503	351652	150	*	102	285	0.357894736842105	143	219	0.65296803652968	8	CG	1	5.23099111873879e-10	gain
chr1	354953	355002	50	*	39	134	0.291044776119403	65	147	0.442176870748299	4	CG	1	0.0107123896260442	gain
chr1	373103	373152	50	*	135	156	0.865384615384615	104	151	0.688741721854305	4	CG	-1	0.000354968396638106	loss
chr1	378903	378952	50	*	105	147	0.714285714285714	73	141	0.517730496453901	4	CG	-1	0.00103162668686058	loss
chr1	379503	379552	50	*	105	112	0.9375	79	106	0.745283018867924	4	CG	-1	0.000240196819208222	loss
chr1	414903	414952	50	*	113	192	0.588541666666667	198	229	0.864628820960699	6	CG	1	1.31255354157573e-09	gain
chr1	424303	424352	50	*	47	176	0.267045454545455	13	194	0.0670103092783505	4	CG	-1	7.99624676165189e-07	loss
chr1	436953	437002	50	*	86	138	0.623188405797101	64	137	0.467153284671533	4	CG	-1	0.012154858153081	loss
chr1	450253	450302	50	*	78	141	0.553191489361702	37	95	0.389473684210526	4	CG	-1	0.0178528992720425	loss
chr1	451103	451152	50	*	62	116	0.53448275862069	126	151	0.834437086092715	4	CG	1	7.87792054084012e-07	gain
chr1	482453	482502	50	*	118	137	0.861313868613139	72	111	0.648648648648649	4	CG	-1	0.000251581527854357	loss
chr1	513053	513102	50	*	85	149	0.570469798657718	113	141	0.801418439716312	4	CG	1	6.45302208960579e-05	gain
chr1	558853	558902	50	*	114	173	0.658959537572254	105	126	0.833333333333333	6	CG	1	0.00129744668411796	gain
chr1	566653	566702	50	*	79	118	0.669491525423729	60	72	0.833333333333333	4	CG	1	0.0186986217653824	gain
chr1	582303	582352	50	*	91	126	0.722222222222222	58	108	0.537037037037037	4	CG	-1	0.00508885825839081	loss
chr1	620903	620952	50	*	124	179	0.692737430167598	100	189	0.529100529100529	4	CG	-1	0.00191642581661343	loss
chr1	621903	621952	50	*	155	195	0.794871794871795	105	256	0.41015625	6	CG	-1	3.71605734598649e-15	loss
chr1	624403	624452	50	*	102	204	0.5	66	204	0.323529411764706	6	CG	-1	0.000666811746392265	loss
chr1	626553	626602	50	*	49	63	0.777777777777778	83	87	0.954022988505747	4	CG	1	0.00222787284458523	gain
chr1	629253	629302	50	*	7	105	0.0666666666666667	33	118	0.279661016949153	4	CG	1	8.43013433012729e-05	gain
chr1	630953	631002	50	*	16	111	0.144144144144144	49	134	0.365671641791045	4	CG	1	0.000166838534310768	gain
chr1	651953	652002	50	*	111	151	0.735099337748344	85	151	0.562913907284768	4	CG	-1	0.00324288424957162	loss
chr1	683903	683952	50	*	46	149	0.308724832214765	66	129	0.511627906976744	4	CG	1	0.00095148343786945	gain
chr1	687753	687802	50	*	51	118	0.432203389830508	111	157	0.707006369426752	5	CG	1	1.99183646187646e-05	gain
chr1	723303	723352	50	*	4	131	0.0305343511450382	25	133	0.18796992481203	4	CG	1	9.28332394055283e-05	gain
chr1	739803	739852	50	*	53	80	0.6625	44	87	0.505747126436782	4	CG	-1	0.0433341886017733	loss
chr1	749653	749702	50	*	79	104	0.759615384615385	51	88	0.579545454545455	4	CG	-1	0.0099491709285002	loss
chr1	760153	760202	50	*	146	164	0.890243902439024	126	208	0.605769230769231	6	CG	-1	4.00624260585457e-09	loss
